"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
5	0	1	1	1	3
10	0	1	1	1	3
15	0	1	1	1	3
20	0	1	1	1	3
25	0	1	1	1	3
30	0	1	1	1	3
35	0	1	1	1	3
40	0	1	1	1	3
45	0	1	1	1	3
50	0	1	1	1	3
55	0	1	1	1	3
60	0	1	1	1	3
65	0	1	1	1	3
70	0	1	1	1	3
75	0	1	1	1	3
80	0	1	1	1	3
85	0	1	1	1	3
90	1	1	1	1	4
95	1	1	1	1	4
100	1	1	1	1	4
105	1	1	1	1	4
110	1	1	1	1	4
115	1	1	1	1	4
120	1	1	1	1	4
125	1	1	1	1	4
130	1	1	1	1	4
135	1	1	1	1	4
140	1	1	1	1	4
145	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
175	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
205	1	1	1	1	4
210	1	1	1	0	3
215	1	1	1	0	3
220	1	1	1	0	3
225	1	1	0	0	2
230	1	1	1	1	4
235	1	1	1	1	4
240	1	1	1	1	4
245	1	1	1	1	4
250	1	1	1	1	4
255	1	1	1	1	4
260	1	1	1	1	4
265	1	1	1	0	3
270	1	1	1	0	3
275	1	1	1	0	3
280	1	1	0	0	2
285	1	1	0	0	2
290	1	1	0	0	2
295	1	1	0	0	2
300	1	0	0	0	1
305	1	0	0	0	1
310	1	0	0	0	1
315	1	0	0	0	1
320	1	1	0	0	2
325	1	1	0	0	2
330	1	1	0	0	2
335	1	1	0	0	2
340	1	1	1	1	4
345	1	1	1	1	4
350	1	1	1	1	4
355	1	1	1	1	4
360	1	1	1	1	4
365	1	1	1	1	4
370	1	1	1	0	3
375	1	1	1	0	3
380	1	1	0	0	2
382	1	1	0	0	2
384	1	1	0	0	2
386	1	1	0	0	2
388	1	1	0	0	2
390	1	1	0	0	2
392	1	1	1	1	4
394	1	1	1	1	4
396	1	1	1	1	4
398	1	1	1	1	4
400	1	1	1	1	4
402	1	1	1	1	4
404	1	1	1	1	4
406	1	1	1	1	4
408	1	1	1	1	4
410	0	1	1	1	3
412	0	1	1	1	3
414	0	1	1	1	3
416	0	1	1	1	3
418	0	1	1	1	3
420	0	1	1	1	3
