"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	0	1	1	1	3
30	0	1	1	1	3
40	1	1	1	1	4
50	1	1	1	1	4
60	1	1	1	1	4
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	1	1	4
100	1	1	1	1	4
110	1	1	1	1	4
120	1	1	1	1	4
130	1	1	1	1	4
140	1	1	1	1	4
150	1	1	1	1	4
160	1	1	1	1	4
170	1	1	1	1	4
180	1	1	1	1	4
190	1	1	1	1	4
200	1	1	1	1	4
210	1	1	1	1	4
220	1	1	1	1	4
230	1	1	1	1	4
240	1	1	1	1	4
250	1	1	1	1	4
260	1	1	1	1	4
270	1	1	1	1	4
280	1	1	1	1	4
290	1	1	1	1	4
300	1	1	1	1	4
310	1	1	1	1	4
320	1	1	1	1	4
330	1	1	1	1	4
340	1	1	1	1	4
350	1	1	1	1	4
360	1	1	1	1	4
370	1	1	1	1	4
380	1	1	1	1	4
390	1	1	1	1	4
400	1	1	1	1	4
410	0	1	1	1	3
420	0	1	1	1	3
430	0	1	1	1	3
440	0	1	1	1	3
450	0	1	1	1	3
460	0	1	1	1	3
470	0	1	1	1	3
480	0	1	1	1	3
490	0	1	1	1	3
500	0	1	1	1	3
510	0	1	1	1	3
520	0	1	1	1	3
530	0	1	1	1	3
540	0	1	1	1	3
550	0	1	1	1	3
560	0	1	1	1	3
570	0	1	1	1	3
580	1	1	1	1	4
590	1	1	1	1	4
600	1	1	1	1	4
610	1	1	1	1	4
620	1	1	1	1	4
630	1	1	1	1	4
640	1	1	1	1	4
650	1	1	1	1	4
660	1	1	1	1	4
670	1	1	1	1	4
680	1	1	1	1	4
690	1	1	1	1	4
700	1	1	1	1	4
710	1	1	1	1	4
720	1	1	1	1	4
730	1	1	1	1	4
740	1	1	1	1	4
750	1	1	1	1	4
760	1	1	1	1	4
770	1	1	1	1	4
780	1	1	1	1	4
790	1	1	1	1	4
800	1	1	1	1	4
810	1	1	1	1	4
820	1	1	1	1	4
830	1	1	1	1	4
840	1	1	1	1	4
850	1	1	1	1	4
860	1	1	1	1	4
870	1	1	1	1	4
880	1	1	1	1	4
890	1	1	1	1	4
900	1	1	1	1	4
910	1	1	1	1	4
920	1	1	1	1	4
930	1	1	1	1	4
940	1	1	1	1	4
950	1	1	1	1	4
960	1	1	1	1	4
970	1	1	1	1	4
980	1	1	1	1	4
990	1	1	1	1	4
1000	1	1	1	1	4
1010	1	1	1	1	4
1020	0	1	1	1	3
1030	0	1	1	1	3
1040	0	1	1	1	3
1050	0	1	1	0	2
