"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
10	1	1	1	1	4
20	1	1	1	1	4
30	1	1	1	1	4
40	1	1	1	1	4
50	1	1	1	1	4
60	1	1	1	1	4
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	1	1	4
100	1	1	1	1	4
110	1	1	1	1	4
120	1	1	1	1	4
130	1	1	1	1	4
140	1	1	1	1	4
150	1	1	1	1	4
160	1	1	1	1	4
170	1	1	1	1	4
180	1	1	1	1	4
190	1	1	1	1	4
200	1	1	1	1	4
210	1	1	1	1	4
220	1	1	1	1	4
230	1	1	1	1	4
240	1	1	1	1	4
250	1	1	1	1	4
260	1	1	1	1	4
270	1	1	1	1	4
280	1	1	1	0	3
290	1	1	1	0	3
300	1	1	1	0	3
310	1	1	1	0	3
320	1	1	1	0	3
330	1	1	1	0	3
340	1	1	1	0	3
350	1	1	0	0	2
360	1	1	0	0	2
370	1	1	0	0	2
380	1	1	0	0	2
390	1	1	0	0	2
400	1	1	1	1	4
410	1	1	1	1	4
420	1	1	1	1	4
430	1	1	1	1	4
440	1	1	1	1	4
450	1	1	1	1	4
460	1	1	1	1	4
470	1	1	1	1	4
480	1	1	1	1	4
490	1	1	1	1	4
500	1	1	1	1	4
510	1	1	1	1	4
520	1	1	1	1	4
530	1	1	1	1	4
540	1	1	1	1	4
550	1	1	1	1	4
560	1	1	1	1	4
570	1	1	1	1	4
580	1	1	1	1	4
590	1	1	1	1	4
600	1	1	1	1	4
610	1	1	1	1	4
620	1	1	1	1	4
630	1	1	1	1	4
640	1	1	1	0	3
650	1	1	1	0	3
660	1	1	1	0	3
670	1	1	1	0	3
680	1	1	1	1	4
690	1	1	1	1	4
700	1	1	1	1	4
710	1	1	1	1	4
720	1	1	1	1	4
730	1	1	1	1	4
740	1	1	1	1	4
750	1	1	1	1	4
760	1	1	1	1	4
770	1	1	1	1	4
780	1	1	1	1	4
790	1	1	1	1	4
800	1	1	1	1	4
810	1	1	1	1	4
820	1	1	1	1	4
830	1	1	1	1	4
840	1	1	1	1	4
850	1	1	1	1	4
860	1	1	1	1	4
870	1	1	1	1	4
880	1	1	1	1	4
890	1	1	1	1	4
900	1	1	1	1	4
910	1	1	1	1	4
920	1	1	1	1	4
930	1	1	1	1	4
940	1	1	1	1	4
950	1	1	1	1	4
960	1	1	1	1	4
970	1	1	1	1	4
980	0	1	1	1	3
990	0	1	1	1	3
1000	0	1	1	1	3
1010	0	1	1	1	3
1020	0	1	1	1	3
1030	0	1	1	1	3
1040	0	1	1	1	3
1050	0	1	1	1	3
1060	0	1	1	1	3
1070	0	1	1	1	3
1080	0	1	1	1	3
1090	0	1	1	1	3
1100	0	1	1	1	3
