"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
3	1	1	1	1	4
7	1	1	1	1	4
11	1	1	1	1	4
15	1	1	1	1	4
19	1	1	1	1	4
23	1	1	1	1	4
27	1	1	1	1	4
56	1	1	1	1	4
60	1	1	1	1	4
65	1	1	1	1	4
70	1	1	1	1	4
75	1	1	1	1	4
80	1	1	1	1	4
84	1	1	1	1	4
89	1	1	1	1	4
94	1	1	1	1	4
99	1	1	1	1	4
104	1	1	1	1	4
109	1	1	1	1	4
115	1	1	1	1	4
119	1	1	1	1	4
125	1	1	1	1	4
130	1	1	1	1	4
136	1	1	1	1	4
141	1	1	1	1	4
146	1	1	1	1	4
152	1	1	1	1	4
157	1	1	1	1	4
162	1	1	1	1	4
167	1	1	1	1	4
172	1	1	1	1	4
177	1	1	1	1	4
182	1	1	1	1	4
187	1	1	1	1	4
192	1	1	1	1	4
197	1	1	1	1	4
203	1	1	1	1	4
208	1	1	1	1	4
214	1	1	1	1	4
219	1	1	1	1	4
225	1	1	1	1	4
231	1	1	1	1	4
236	1	1	1	1	4
242	1	1	1	1	4
247	1	1	1	1	4
252	1	1	1	1	4
257	1	1	1	1	4
262	1	1	1	1	4
267	1	1	1	1	4
272	1	1	1	1	4
277	1	1	1	1	4
282	1	1	1	1	4
287	1	1	1	1	4
292	1	1	1	1	4
