"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	0	1	1	1	3
30	0	1	1	1	3
40	0	1	1	1	3
50	0	1	1	1	3
60	0	1	1	1	3
70	0	1	1	1	3
80	0	1	1	1	3
90	0	1	1	1	3
100	0	1	1	1	3
110	0	1	1	1	3
120	0	1	1	1	3
130	0	1	1	1	3
140	0	1	1	1	3
150	0	1	1	1	3
160	0	1	1	1	3
170	0	1	1	1	3
180	0	1	1	1	3
190	0	1	1	1	3
200	0	1	1	1	3
210	0	1	1	1	3
220	0	1	1	1	3
230	0	1	1	1	3
240	0	1	1	1	3
250	0	1	1	1	3
260	0	1	1	1	3
270	0	1	1	1	3
280	0	1	1	1	3
290	0	1	1	1	3
300	0	1	1	1	3
310	0	1	1	1	3
320	0	1	1	1	3
330	0	1	1	0	2
340	0	1	1	0	2
350	0	1	1	0	2
360	0	1	1	0	2
370	0	1	1	0	2
380	0	1	0	0	1
390	0	1	0	0	1
400	0	1	0	0	1
410	0	1	0	0	1
420	0	1	0	0	1
430	0	1	0	0	1
440	0	1	0	0	1
450	0	1	0	0	1
460	0	1	0	0	1
470	0	1	0	0	1
480	0	1	0	0	1
490	0	1	1	1	3
500	0	1	1	1	3
510	0	1	1	1	3
520	0	1	1	1	3
530	0	1	1	1	3
540	0	1	1	1	3
550	0	1	1	1	3
560	0	1	1	1	3
570	0	1	1	1	3
580	0	1	1	1	3
590	0	1	1	1	3
600	0	1	1	1	3
