"ID","C14_age","cal_BP","error","reservoir","depth","thickness","RCode"
2950,NA,NA,NA,"",0,0,"TOP_C"
2951,165,"",45,"",110,0,"C14"
2952,695,"",35,"",194,0,"C14"
2953,1915,"",25,"",366,0,"C14"
2954,2805,"",35,"",525,0,"C14"
2955,3520,"",30,"",637,0,"C14"
2956,4165,"",40,"",720,0,"C14"
2957,5200,"",30,"",763,0,"C14"
2958,5845,"",30,"",801,0,"C14"
2959,7005,"",30,"",841,0,"C14"
2960,7880,"",40,"",898,0,"C14"
2961,8325,"",40,"",941,0,"C14"
2962,8755,"",40,"",989,0,"C14"
2963,9220,"",40,"",1029,0,"C14"
2964,9650,"",50,"",1060,0,"C14"
2965,10040,"",45,"",1079,0,"C14"
2966,11350,"",50,"",1119,0,"C14"
2967,12260,"",50,"",1153,0,"C14"
2968,12080,"",45,"",1174,0,"C14"
2969,12150,"",60,"",1195,0,"C14"
2970,NA,NA,NA,"",1200,0,"BOT_C"
