"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
2	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
10	0	1	1	1	3
12	0	1	1	1	3
14	0	1	1	1	3
16	0	1	1	1	3
18	0	1	1	1	3
20	0	1	1	1	3
22	0	1	1	1	3
24	0	1	1	1	3
26	0	1	1	1	3
28	0	1	1	1	3
30	0	1	1	1	3
32	0	1	1	1	3
34	0	1	1	1	3
36	0	1	1	1	3
38	0	1	1	1	3
40	0	1	1	1	3
42	0	1	1	1	3
44	1	1	1	1	4
46	1	1	1	1	4
48	1	1	1	1	4
50	1	1	1	1	4
55	1	1	1	1	4
60	1	1	1	1	4
65	1	1	1	1	4
70	1	1	1	1	4
75	1	1	1	1	4
80	1	1	1	1	4
85	1	1	1	1	4
90	1	1	1	1	4
95	1	1	1	1	4
100	1	1	1	1	4
105	1	1	1	1	4
110	1	1	1	1	4
115	1	1	1	1	4
120	1	1	1	1	4
125	1	1	1	1	4
130	1	1	1	1	4
135	1	1	1	1	4
140	1	1	1	1	4
145	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
175	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
205	1	1	1	1	4
210	1	1	1	1	4
215	1	1	1	1	4
220	1	1	1	1	4
225	1	1	1	1	4
230	1	1	1	1	4
235	1	1	1	1	4
240	1	1	1	1	4
245	1	1	1	1	4
250	1	1	1	1	4
255	1	1	1	1	4
260	1	1	1	1	4
265	1	1	1	1	4
270	1	1	1	1	4
275	1	1	1	1	4
280	1	1	1	1	4
285	1	1	1	1	4
290	1	1	1	1	4
295	1	1	1	1	4
300	1	1	1	1	4
305	1	1	1	1	4
310	1	1	1	1	4
315	1	1	1	1	4
320	1	1	1	1	4
325	1	1	1	1	4
330	1	1	1	1	4
335	1	1	1	1	4
340	1	1	1	1	4
345	1	1	1	1	4
350	1	1	1	1	4
355	1	1	1	1	4
360	1	1	1	1	4
365	1	1	1	1	4
370	1	1	1	1	4
375	1	1	1	1	4
380	1	1	1	1	4
385	1	1	1	1	4
390	1	1	1	1	4
395	1	1	1	1	4
400	1	1	1	1	4
405	1	1	1	1	4
410	1	1	1	1	4
415	0	1	1	1	3
420	0	1	1	1	3
425	0	1	1	1	3
430	0	1	1	1	3
435	0	1	1	1	3
440	0	1	1	1	3
445	0	1	1	1	3
450	0	1	1	1	3
455	0	1	1	1	3
460	0	1	1	1	3
465	0	1	1	1	3
470	0	1	1	1	3
475	0	1	1	1	3
480	0	1	1	1	3
485	0	1	1	1	3
490	0	1	1	1	3
495	0	1	1	1	3
500	0	1	1	1	3
505	0	1	1	1	3
510	0	1	1	1	3
515	0	1	1	1	3
520	0	1	1	1	3
525	0	1	1	1	3
530	0	1	1	1	3
535	0	1	1	1	3
540	0	1	1	1	3
545	0	1	1	1	3
550	0	1	1	1	3
555	0	1	1	1	3
560	0	1	1	1	3
565	0	1	1	1	3
