"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
5	1	1	1	1	4
10	1	1	1	1	4
25	1	1	1	0	3
40	1	1	0	0	2
45	1	1	1	1	4
50	1	1	1	1	4
65	1	1	1	1	4
75	1	1	1	1	4
85	1	1	1	1	4
95	1	1	1	0	3
105	1	1	0	0	2
130	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
170	1	1	1	0	3
180	1	1	1	0	3
190	1	1	1	1	4
200	1	1	1	1	4
210	1	1	1	1	4
220	1	1	1	1	4
235	1	1	1	1	4
245	1	1	1	1	4
255	1	1	1	1	4
270	1	1	1	1	4
280	1	1	1	1	4
285	1	1	1	1	4
290	1	1	1	1	4
295	1	1	1	1	4
305	1	1	1	1	4
310	1	1	1	0	3
325	1	1	1	0	3
340	1	1	0	0	2
360	1	1	1	1	4
375	1	1	1	1	4
380	0	1	1	1	3
385	0	1	1	1	3
395	0	1	1	0	2
408	0	1	0	0	1
415	0	1	0	0	1
