"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	0	0	1
2	0	1	0	0	1
6	0	1	0	0	1
10	0	1	0	0	1
14	0	1	0	0	1
18	0	1	0	0	1
22	0	1	1	1	3
26	0	1	1	1	3
30	0	1	1	1	3
34	0	1	1	1	3
38	0	1	1	1	3
42	0	1	1	1	3
46	0	1	1	1	3
50	0	1	1	1	3
54	0	1	1	1	3
58	0	1	1	1	3
62	0	1	1	1	3
66	0	1	1	1	3
70	0	1	1	1	3
74	0	1	1	1	3
78	0	1	1	1	3
82	0	1	1	1	3
86	0	1	1	1	3
90	0	1	1	1	3
94	0	1	1	1	3
98	0	1	1	1	3
102	0	1	1	1	3
106	0	1	1	1	3
110	0	1	1	1	3
114	0	1	1	1	3
118	0	1	1	1	3
122	0	1	1	0	2
126	0	1	0	0	1
130	0	1	1	1	3
134	0	1	1	1	3
138	0	1	0	0	1
142	0	1	1	1	3
146	0	1	0	0	1
150	0	1	0	0	1
154	0	1	1	1	3
158	0	0	0	0	0
162	0	0	0	0	0
166	0	1	1	1	3
170	0	1	0	0	1
