"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
1	0	1	1	1	3
3	0	1	1	1	3
5	0	1	1	1	3
7	0	1	1	1	3
9	0	1	1	0	2
11	0	1	1	0	2
13	0	1	1	0	2
15	0	1	1	0	2
17	0	1	1	1	3
19	0	1	1	1	3
21	0	1	1	1	3
23	0	1	1	1	3
25	0	1	1	1	3
27	0	1	1	1	3
29	0	1	1	1	3
31	1	1	1	1	4
33	1	1	1	1	4
35	1	1	1	1	4
37	1	1	1	0	3
39	1	1	1	0	3
41	1	1	1	1	4
43	1	1	1	1	4
45	1	1	1	1	4
47	1	1	1	1	4
49	1	1	1	1	4
51	1	1	1	1	4
53	1	1	1	0	3
55	1	1	1	0	3
57	1	1	0	0	2
59	1	1	0	0	2
61	1	1	0	0	2
63	1	0	0	0	1
65	1	0	0	0	1
67	1	1	0	0	2
69	1	1	0	0	2
71	1	1	0	0	2
73	1	1	1	1	4
75	1	1	1	1	4
77	1	1	1	1	4
79	1	1	1	1	4
81	1	1	1	0	3
83	1	1	0	0	2
85	1	1	0	0	2
87	1	0	0	0	1
89	1	1	0	0	2
91	1	1	0	0	2
93	1	1	1	1	4
95	1	1	1	1	4
97	1	1	1	1	4
99	1	1	1	0	3
101	1	1	1	0	3
103	1	1	0	0	2
105	1	1	0	0	2
107	1	0	0	0	1
109	1	0	0	0	1
111	1	0	0	0	1
113	1	0	0	0	1
115	1	0	0	0	1
117	1	0	0	0	1
119	1	1	0	0	2
121	1	1	0	0	2
123	1	1	1	1	4
125	1	1	1	1	4
127	0	1	1	1	3
