"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
1	0	1	1	1	3
3	0	1	1	1	3
5	0	1	1	1	3
7	0	1	1	1	3
9	0	1	1	1	3
11	0	1	1	1	3
13	0	1	1	1	3
15	0	1	1	1	3
17	0	1	1	1	3
19	0	1	1	1	3
21	0	1	1	1	3
23	0	1	1	1	3
25	0	1	1	1	3
27	0	1	1	1	3
29	0	1	1	1	3
31	0	1	1	1	3
33	0	1	1	1	3
35	0	1	1	1	3
37	0	1	1	1	3
39	0	1	1	1	3
41	0	1	1	1	3
43	0	1	1	1	3
45	0	1	1	1	3
47	0	1	1	1	3
49	0	1	1	1	3
51	0	1	1	1	3
53	0	1	1	1	3
55	0	1	1	1	3
57	0	1	1	1	3
59	0	1	1	1	3
61	0	1	1	1	3
63	0	1	1	1	3
65	0	1	1	1	3
67	0	1	1	1	3
69	0	1	1	1	3
71	0	1	1	1	3
73	0	1	1	1	3
75	0	1	1	1	3
